preset,fake_weight,threshold,cv_macro_f1,cv_accuracy,cv_macro_auc,cv_fake_recall,cv_stage1_acc,n_stage1,n_stage2,stage1_features,stage2_features
all_vs_face,1.5,0.4,0.7172054729590642,0.7171875,0.8649461895649591,0.8897849462365591,0.79375,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,2.0,0.55,0.7169551552678488,0.71875,0.8637645651301256,0.8575268817204301,0.79375,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,1.0,0.55,0.7169441000742434,0.7203125,0.8657950264677555,0.8333333333333334,0.7953125,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.0,0.5,0.7167943197506554,0.7203125,0.8650061968120027,0.8333333333333334,0.7921875,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,2.0,0.5,0.7162225075707219,0.7171875,0.8637645651301256,0.8682795698924731,0.7921875,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,1.5,0.45,0.7160962310828678,0.7171875,0.8649461895649591,0.8763440860215054,0.79375,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.0,0.55,0.7156763335894238,0.7203125,0.8650061968120027,0.8091397849462365,0.7890625,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face,1.5,0.5,0.7156705729727247,0.7171875,0.8649461895649591,0.8655913978494624,0.79375,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.5,0.5,0.715574587773907,0.7171875,0.8654105047207109,0.8548387096774194,0.790625,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.0,0.4,0.7155609501684356,0.7171875,0.8650061968120027,0.8629032258064516,0.7921875,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
