alpha_3class,fake_threshold,macro_f1,accuracy
0.35000000000000003,0.5900000000000003,0.759885468892913,0.7609375
0.35000000000000003,0.6000000000000003,0.755069507019786,0.75625
0.35000000000000003,0.6100000000000003,0.7563410641912359,0.7578125
0.35000000000000003,0.6200000000000003,0.7558306506080271,0.7578125
0.35000000000000003,0.6300000000000003,0.7572555043522785,0.759375
0.35000000000000003,0.6400000000000003,0.7602925175148334,0.7625
0.35000000000000003,0.6500000000000004,0.7567938732809005,0.759375
0.35000000000000003,0.6600000000000004,0.7533021585735534,0.75625
0.35000000000000003,0.6700000000000004,0.7528589527247701,0.75625
0.35000000000000003,0.6800000000000004,0.7495813204508858,0.753125
0.35000000000000003,0.6900000000000004,0.7485420515904214,0.7515625
0.35000000000000003,0.7000000000000004,0.751178213119957,0.7546875
0.4,0.3,0.742701220816972,0.740625
0.4,0.31,0.744286472776723,0.7421875
0.4,0.32,0.747240052514007,0.7453125
0.4,0.33,0.7532289985539219,0.7515625
0.4,0.34,0.7560391965189567,0.7546875
0.4,0.35000000000000003,0.7560000075014951,0.7546875
0.4,0.36000000000000004,0.7544423465047737,0.753125
0.4,0.37000000000000005,0.7543852212467058,0.753125
0.4,0.38000000000000006,0.7573786799632094,0.75625
